"Default","WC/TA","RE/TA","EBIT/TA","ME/TL","S/TA"
0,0.07,0.35,0.07,1.32,0.67
0,0.09,0.37,0.07,1.16,0.63
0,0.09,0.37,0.06,1.19,0.60
0,0.09,0.34,0.06,0.84,0.64
0,0.07,0.36,0.06,0.89,0.59
0,0.01,0.30,0.06,0.69,0.63
0,0.14,0.46,0.05,2.11,0.22
0,0.07,0.26,0.04,1.21,0.19
0,0.05,0.26,0.04,1.35,0.21
0,0.09,0.26,0.05,1.08,0.21
0,0.09,0.16,0.04,0.84,0.13
0,0.03,0.15,0.04,0.83,0.24
0,0.05,0.10,0.06,0.40,0.27
0,0.07,0.11,0.04,0.14,0.25
0,0.07,0.10,0.05,0.25,0.24
0,0.10,0.10,0.03,0.28,0.21
0,0.08,0.13,0.03,0.23,0.20
0,0.20,0.20,0.04,0.66,0.29
0,0.34,0.23,0.03,2.27,0.30
1,0.36,0.06,0.03,3.20,0.28
0,-0.05,0.14,0.06,0.94,0.18
0,-0.12,0.12,0.04,0.58,0.20
0,-0.40,0.07,0.00,0.14,0.09
0,0.05,0.03,0.04,0.20,0.09
0,0.05,-0.03,0.06,0.40,0.12
0,0.12,0.45,0.06,3.08,0.29
0,0.18,0.44,0.07,2.49,0.29
0,0.17,0.42,0.05,1.87,0.26
0,0.15,0.32,0.05,1.09,0.24
0,0.18,0.37,0.05,1.58,0.26
0,0.17,0.38,0.05,1.57,0.25
0,0.07,0.30,0.06,1.81,0.17
0,0.05,0.34,0.07,1.83,0.18
0,0.03,0.36,0.08,2.24,0.24
0,0.01,0.26,0.07,2.71,0.20
0,0.03,0.30,0.08,3.97,0.18
0,0.05,0.35,0.06,2.80,0.18
0,0.06,0.39,0.07,2.74,0.18
0,0.03,0.32,0.07,1.55,0.14
0,0.04,0.39,0.04,1.54,0.14
0,0.04,0.43,0.06,1.91,0.16
0,0.15,0.35,0.06,2.86,0.27
0,0.03,0.24,0.07,1.45,0.22
0,0.09,0.25,0.02,1.73,0.21
0,0.09,0.23,0.04,1.00,0.20
0,0.09,0.26,0.05,1.71,0.19
0,0.07,0.29,0.03,1.45,0.22
0,0.19,0.02,0.04,3.10,0.12
0,0.42,0.11,0.05,7.44,0.11
0,0.06,0.31,0.07,1.13,0.32
0,0.09,0.32,0.07,1.04,0.39
0,0.04,0.27,0.04,0.56,0.21
0,0.04,0.28,0.05,0.57,0.26
0,0.08,0.29,0.03,0.57,0.30
0,0.01,0.25,0.05,0.74,0.31
0,0.07,0.69,0.07,1.52,0.24
0,0.08,0.70,0.06,1.32,0.27
0,0.17,0.80,0.06,1.87,0.28
0,0.10,0.78,0.06,2.02,0.27
0,0.04,0.67,0.06,2.22,0.24
0,0.12,0.72,0.07,2.42,0.26
0,-0.07,0.08,0.03,0.34,0.22
0,-0.09,0.09,0.03,0.39,0.08
0,-0.08,0.05,0.03,0.36,0.11
0,0.00,0.06,0.05,0.46,0.14
0,0.01,0.09,0.04,0.57,0.13
0,0.25,0.56,0.08,0.84,0.27
0,0.06,0.46,0.05,0.49,0.27
0,0.17,0.42,0.06,0.50,0.26
0,0.24,0.48,0.06,0.56,0.24
0,0.34,0.56,0.04,1.18,0.26
0,0.33,0.58,0.04,1.43,0.21
0,0.13,0.12,0.07,2.92,0.15
0,0.07,-0.03,0.06,4.59,0.20
0,0.13,0.01,0.07,4.30,0.19
0,0.27,0.14,0.07,2.82,0.18
0,0.24,0.15,0.05,2.62,0.17
0,0.20,0.17,0.07,2.42,0.17
0,0.30,-0.20,0.04,0.83,0.14
0,0.41,-0.10,0.07,0.87,0.18
0,0.41,-0.02,0.03,0.84,0.14
0,0.55,0.04,0.10,0.98,0.20
0,0.64,0.09,0.07,1.20,0.20
0,0.46,0.20,0.10,4.67,0.24
0,-0.04,0.13,0.05,1.81,0.13
0,-0.11,0.06,0.05,0.50,0.09
0,0.02,0.01,0.03,0.59,0.11
0,0.10,-0.27,0.04,0.51,0.19
0,0.06,-0.27,0.04,0.50,0.20
0,0.04,-0.60,0.05,0.62,0.24
0,0.17,0.08,0.10,0.48,0.69
1,0.08,-0.04,-0.02,0.14,0.70
0,0.10,0.22,0.07,1.43,0.41
0,0.14,0.28,0.07,1.81,0.39
0,0.15,0.33,0.05,2.28,0.41
0,0.09,0.31,0.05,1.40,0.32
0,0.02,0.35,0.08,1.13,0.34
0,0.04,0.38,0.07,1.48,0.32
0,0.06,0.37,0.06,1.54,0.27
0,0.12,0.44,0.08,2.11,0.27
0,0.10,0.46,0.06,2.37,0.26
0,0.16,0.47,0.08,3.23,0.27
0,0.39,0.35,0.12,20.76,0.24
0,0.34,0.35,0.13,20.53,0.25
0,0.28,0.33,0.11,14.44,0.22
0,0.29,0.27,0.12,24.01,0.24
0,0.32,0.26,0.12,58.24,0.27
0,0.41,0.29,0.10,60.61,0.20
0,0.47,0.29,0.09,48.17,0.20
0,0.24,-0.01,0.06,10.10,0.11
0,0.24,0.00,0.06,11.77,0.12
0,0.20,-0.05,0.07,8.59,0.14
0,0.45,0.55,0.07,15.43,0.23
0,0.59,0.43,0.10,11.06,0.21
0,0.62,0.45,0.03,6.76,0.12
0,0.66,0.46,0.04,4.74,0.13
0,0.61,0.65,0.06,20.25,0.18
0,0.00,0.73,0.05,3.81,0.23
0,0.02,0.80,0.07,4.63,0.24
0,0.01,0.82,0.07,4.10,0.25
0,0.02,0.86,0.06,3.76,0.25
0,0.02,0.93,0.06,3.63,0.25
0,0.01,0.92,0.07,2.98,0.24
0,0.03,0.13,0.06,1.52,0.10
0,0.05,0.20,0.09,2.33,0.14
0,0.05,0.16,0.04,1.54,0.09
0,0.05,0.17,0.06,1.84,0.11
0,0.04,0.22,0.07,2.26,0.12
0,0.03,0.27,0.08,2.30,0.13
0,0.55,0.34,0.03,4.98,0.28
0,0.53,0.39,0.04,3.12,0.29
0,0.62,0.39,0.05,2.62,0.27
0,0.62,0.39,0.04,2.39,0.26
0,0.55,0.38,0.03,2.92,0.28
0,0.53,0.38,0.11,7.63,0.34
0,0.51,0.47,0.07,3.79,0.28
0,0.49,0.44,0.07,5.78,0.27
0,0.52,0.50,0.05,7.07,0.17
0,0.54,0.49,0.09,14.38,0.28
0,0.60,0.51,0.12,12.56,0.31
0,0.68,0.61,0.04,12.56,0.17
0,0.67,0.60,0.03,11.27,0.17
0,0.67,0.60,0.04,17.32,0.16
0,0.68,0.63,0.08,9.69,0.21
0,0.08,0.27,0.05,1.03,0.14
0,0.23,1.15,0.06,0.36,0.36
0,0.06,1.43,0.09,0.37,0.37
0,0.09,1.64,0.09,1.34,0.44
0,0.11,1.43,0.08,1.65,0.44
0,0.19,1.32,0.08,2.32,0.47
0,0.17,0.15,0.04,1.19,0.25
0,0.16,0.12,0.03,0.74,0.37
0,0.19,0.11,0.04,1.06,0.40
0,0.19,0.10,0.04,0.99,0.48
0,0.21,0.12,0.05,0.86,0.50
0,0.22,0.14,0.06,0.95,0.53
0,-0.03,0.08,0.08,0.49,0.64
0,-0.04,0.16,0.08,0.75,0.57
0,0.00,0.24,0.04,1.85,0.49
0,0.05,0.23,0.06,1.64,0.53
0,0.02,0.31,0.06,2.66,0.59
0,0.07,0.34,0.07,3.36,0.60
0,0.09,0.26,0.05,0.41,0.20
0,0.19,0.28,0.02,0.06,0.21
0,0.22,0.28,0.03,0.07,0.20
0,0.44,0.28,0.05,0.86,0.57
0,0.45,0.21,0.07,0.51,0.53
0,0.48,0.26,0.04,0.85,0.41
0,0.43,0.18,0.03,0.40,0.45
0,0.43,0.21,0.05,0.64,0.50
0,0.45,0.27,0.04,0.88,0.52
0,0.09,0.19,0.05,0.55,0.42
0,0.13,0.29,0.04,0.60,0.33
0,0.10,0.26,0.04,0.52,0.34
0,0.13,0.29,0.04,0.60,0.34
0,0.10,0.29,0.05,0.44,0.33
0,0.12,0.28,0.02,0.50,0.32
0,0.10,0.32,0.03,0.86,0.35
0,0.07,0.11,0.04,0.85,0.12
0,0.03,0.11,0.04,0.85,0.14
0,0.00,0.12,0.04,0.73,0.13
0,-0.06,0.14,0.03,0.81,0.11
0,-0.07,0.11,0.06,0.45,0.10
0,-0.09,0.09,0.05,0.48,0.10
0,-0.05,0.10,0.04,0.64,0.10
0,0.04,0.11,0.06,0.62,0.14
0,-0.02,0.31,0.06,1.62,0.17
0,0.20,0.65,0.09,15.01,0.28
0,0.13,0.27,0.05,2.77,0.13
0,0.11,0.31,0.04,2.36,0.14
0,0.12,0.35,0.05,2.08,0.12
0,0.13,0.37,0.05,1.44,0.13
0,0.06,0.38,0.06,1.61,0.13
0,0.09,0.51,0.08,4.65,0.38
0,0.10,0.53,0.06,3.30,0.38
0,0.04,0.54,0.06,3.32,0.35
0,0.00,0.42,0.06,2.61,0.33
0,0.02,0.44,0.06,2.26,0.33
0,0.08,0.46,0.05,2.35,0.37
0,0.54,0.53,0.05,1.06,0.59
0,0.40,0.33,0.07,0.82,0.54
0,0.24,0.32,0.05,0.77,0.46
0,0.44,0.27,0.03,0.94,0.49
0,0.42,0.27,0.04,0.60,0.53
0,0.41,0.29,0.03,0.98,0.57
0,-0.11,0.22,0.12,2.75,0.64
0,0.11,0.29,0.13,3.76,0.62
0,0.17,0.31,0.13,3.39,0.57
0,0.05,0.30,0.12,3.71,0.60
0,0.22,0.44,0.14,5.04,0.62
0,0.27,0.51,0.12,5.75,0.58
0,0.05,0.36,0.07,2.24,0.23
0,0.01,0.37,0.06,1.47,0.20
0,0.04,0.41,0.03,1.73,0.24
0,0.03,0.28,0.05,1.36,0.23
0,0.02,0.27,0.05,1.35,0.24
0,0.06,0.30,0.05,1.58,0.24
0,0.22,0.01,0.03,1.78,0.21
0,0.26,-0.02,0.06,4.07,0.24
0,0.27,0.03,0.05,3.64,0.23
0,0.21,0.02,0.06,3.68,0.25
0,0.28,0.09,0.07,4.92,0.28
0,0.10,0.19,0.06,0.59,0.33
0,0.15,0.22,0.07,0.69,0.35
0,0.13,0.19,0.05,1.10,0.39
0,0.07,0.14,0.05,0.82,0.24
0,0.05,0.22,0.05,1.07,0.32
0,0.10,0.25,0.05,1.50,0.31
0,-0.01,0.18,0.04,0.69,0.11
0,0.02,0.17,0.05,0.77,0.11
0,-0.09,0.16,0.00,0.45,0.09
0,0.09,0.15,0.03,0.48,0.12
0,0.08,0.14,0.04,0.60,0.18
0,0.08,0.16,0.06,0.64,0.21
0,0.33,0.13,0.00,0.81,0.30
0,0.20,0.23,0.04,0.52,0.17
0,0.20,0.22,0.03,0.16,0.16
0,0.20,0.20,0.04,0.23,0.17
0,0.20,0.10,0.02,0.13,0.06
0,0.21,0.38,0.06,2.64,0.28
0,0.20,0.43,0.07,5.21,0.28
0,0.20,0.42,0.06,4.96,0.27
0,0.32,0.43,0.07,5.02,0.29
0,0.37,0.46,0.08,7.49,0.28
0,0.36,0.44,0.09,5.62,0.25
0,0.31,0.44,0.07,6.55,0.24
0,0.37,0.48,0.07,10.35,0.23
0,0.03,0.21,0.05,2.10,0.20
0,0.03,0.12,-0.16,1.55,0.29
0,0.06,0.13,0.02,1.87,0.34
0,0.05,0.13,0.06,2.27,0.48
0,0.09,0.26,0.04,7.08,0.12
0,0.12,0.30,0.04,6.94,0.11
0,0.11,0.30,0.04,5.88,0.10
0,0.14,0.10,0.07,4.32,0.11
0,0.13,-0.14,0.03,4.28,0.12
0,0.20,-0.11,0.04,4.36,0.14
0,0.23,-0.10,0.04,6.53,0.13
0,0.29,-0.06,0.05,4.79,0.11
0,0.38,0.42,0.07,1.95,0.17
0,0.29,0.46,0.04,1.07,0.18
0,0.27,0.43,0.04,1.03,0.18
0,0.19,0.46,0.05,1.06,0.19
0,0.21,0.52,0.06,1.54,0.21
0,0.21,0.58,0.05,2.18,0.23
0,0.15,0.14,0.08,2.93,0.22
0,0.07,0.06,0.06,4.28,0.25
0,0.10,0.09,0.07,4.86,0.24
0,0.12,0.05,0.08,1.77,0.21
0,0.14,0.10,0.07,1.82,0.22
0,0.15,0.09,0.06,2.06,0.21
0,0.12,0.56,0.07,2.65,0.23
0,0.11,0.59,0.06,2.66,0.24
0,0.13,0.60,0.07,3.90,0.24
0,0.15,0.64,0.06,2.88,0.24
0,0.26,0.69,0.06,3.46,0.23
0,0.32,0.74,0.06,4.85,0.25
0,-0.01,0.07,0.07,2.07,0.25
0,0.03,0.25,0.05,4.42,0.15
0,-0.06,0.06,0.03,1.09,0.13
0,-0.07,0.06,0.05,0.82,0.12
0,-0.03,-0.13,0.06,1.01,0.17
0,-0.01,-0.11,0.05,1.07,0.17
0,-0.01,-0.12,0.05,1.10,0.19
0,-0.11,0.29,0.08,3.11,0.18
0,-0.10,0.30,0.06,2.27,0.13
0,-0.02,0.32,0.08,2.17,0.15
0,0.00,0.33,0.06,1.54,0.15
0,0.04,0.34,0.07,1.78,0.14
0,-0.06,0.34,0.06,1.42,0.12
0,0.05,0.11,0.05,0.76,0.13
0,0.07,0.13,0.06,0.63,0.14
0,0.06,0.11,0.05,0.87,0.12
0,0.07,0.13,0.06,1.13,0.13
0,0.05,0.15,0.05,1.61,0.15
0,0.05,0.18,0.06,1.53,0.15
0,0.25,0.52,0.07,2.29,0.35
0,0.11,0.44,0.06,1.68,0.33
0,0.21,0.49,0.07,2.53,0.31
0,0.21,0.45,0.06,2.05,0.31
0,0.23,0.52,0.05,2.32,0.31
0,0.23,0.55,0.06,2.69,0.32
0,0.16,0.11,0.04,0.36,1.01
0,0.27,-0.03,0.05,0.44,1.32
0,0.19,0.30,0.12,5.90,1.47
0,0.08,0.30,0.09,2.85,1.16
0,0.16,0.27,0.12,2.95,0.98
0,0.18,0.27,0.10,1.93,0.94
0,0.17,0.32,0.13,3.34,1.00
0,0.21,0.38,0.11,3.06,0.94
0,0.06,-0.12,0.02,0.31,0.22
1,0.07,-0.13,0.00,0.08,0.19
0,0.09,-0.04,0.03,0.37,0.34
0,-0.02,-0.06,0.03,0.67,0.38
0,0.06,-0.27,0.06,0.68,0.43
0,0.11,-0.39,0.06,0.85,0.37
0,0.16,-0.36,0.06,0.94,0.41
0,0.03,-0.11,0.05,0.98,0.08
1,0.07,-0.23,-0.13,0.83,0.09
0,0.38,0.05,0.02,0.27,0.21
0,0.30,-0.06,0.04,0.13,0.25
1,0.24,-0.20,0.02,0.05,0.23
0,0.29,0.33,0.06,0.67,0.32
0,0.31,0.37,0.06,1.03,0.30
0,0.38,0.39,0.09,2.01,0.37
0,0.38,0.52,0.08,2.98,0.37
0,0.47,0.48,0.06,3.02,0.29
0,0.46,0.43,0.05,1.88,0.26
0,0.12,0.00,0.08,1.44,0.37
0,0.12,0.05,0.06,0.99,0.33
0,0.24,0.07,0.05,0.94,0.33
0,0.21,0.03,0.07,1.01,0.32
0,0.24,0.10,0.06,1.16,0.35
0,0.25,0.18,0.07,1.83,0.33
0,0.00,0.27,0.04,1.07,0.35
0,-0.10,0.17,0.07,1.02,0.47
0,-0.19,0.19,0.03,0.81,0.09
0,-0.10,0.18,0.05,0.52,0.17
0,0.14,0.17,0.03,0.75,0.17
0,0.10,0.30,0.03,4.29,0.07
0,0.11,0.31,0.05,6.08,0.11
0,0.16,0.37,0.05,3.81,0.10
0,0.09,0.30,0.05,4.03,0.08
0,0.14,0.32,0.04,3.75,0.08
0,0.11,0.33,0.06,4.23,0.08
0,0.10,0.32,0.06,1.60,0.45
0,-0.04,0.31,0.07,1.92,0.36
0,-0.07,0.32,0.05,0.84,0.35
0,-0.03,0.24,0.04,0.61,0.28
0,0.01,0.22,0.06,0.79,0.28
0,-0.10,0.28,0.02,1.04,0.30
0,0.11,0.22,0.05,0.69,0.38
0,0.14,0.23,0.04,0.59,0.38
0,0.03,0.19,0.05,0.63,0.39
0,0.09,0.15,0.04,0.48,0.39
0,0.09,0.13,0.04,0.73,0.36
0,0.21,0.16,0.03,0.62,0.40
0,0.02,0.06,0.07,0.39,0.53
0,0.03,0.07,0.06,0.36,0.61
0,0.03,0.09,0.05,0.73,0.53
0,0.25,0.20,0.07,1.35,0.83
0,0.17,0.26,0.06,0.71,1.08
0,0.00,0.10,0.06,0.70,0.14
0,-0.01,0.09,0.06,0.58,0.16
0,-0.09,0.09,0.04,0.62,0.17
0,-0.03,0.09,0.04,0.53,0.13
0,-0.05,0.09,0.06,0.54,0.14
0,0.00,0.10,0.04,0.54,0.13
0,0.05,0.18,0.05,1.04,0.15
0,-0.04,0.18,0.04,0.90,0.16
0,0.01,0.17,0.03,0.72,0.15
0,0.04,0.13,0.02,0.62,0.15
0,0.06,0.09,0.01,0.67,0.17
0,0.09,0.07,0.03,0.64,0.18
0,0.37,0.14,0.08,1.20,0.49
0,0.33,0.16,0.04,0.88,0.48
0,0.27,0.62,0.09,2.61,0.49
0,0.23,0.69,0.08,1.93,0.51
0,0.23,0.73,0.10,2.67,0.54
0,0.21,0.79,0.08,1.49,0.45
0,0.32,0.61,0.05,1.08,0.29
0,0.33,0.60,0.08,0.95,0.37
0,0.37,0.60,0.07,1.17,0.37
0,0.44,0.61,0.08,2.44,0.35
0,0.26,0.86,0.10,15.07,0.30
0,0.27,0.98,0.09,17.25,0.31
0,0.11,0.67,0.07,5.30,0.20
0,0.10,0.74,0.07,2.85,0.23
0,0.19,0.70,0.07,3.16,0.23
0,0.18,0.66,0.06,2.49,0.20
0,0.00,0.13,0.04,0.24,0.12
0,-0.02,0.08,0.04,0.25,0.14
0,-0.03,0.07,0.05,0.37,0.15
0,0.08,0.09,0.05,0.56,0.16
0,0.45,0.23,0.04,0.49,0.60
0,0.39,0.23,0.05,0.64,0.57
0,0.36,0.24,0.04,0.65,0.63
0,0.38,0.29,0.05,1.15,0.66
0,0.44,0.35,0.05,1.85,0.63
0,0.36,0.34,0.05,1.19,0.60
0,0.03,0.10,0.05,1.99,0.11
0,0.17,0.46,0.05,1.97,0.77
0,0.03,0.36,0.07,0.38,0.97
1,0.04,0.21,0.03,0.09,1.02
0,0.18,0.39,0.05,1.01,0.28
0,0.20,0.32,0.05,0.66,0.29
0,0.20,0.37,0.02,0.96,0.26
0,0.22,0.32,0.04,0.80,0.30
0,0.21,0.34,0.04,1.31,0.33
0,0.22,0.34,0.04,1.84,0.34
0,0.41,0.69,0.04,2.14,0.28
0,0.40,0.69,0.05,1.97,0.28
0,0.28,0.69,0.06,2.76,0.32
0,0.29,0.61,0.03,1.61,0.27
0,0.32,0.59,0.05,1.38,0.31
0,0.36,0.56,0.05,1.50,0.36
0,0.35,0.56,-0.01,1.17,0.25
0,0.26,-0.02,0.04,0.22,0.25
0,0.32,-0.44,0.02,0.09,0.35
0,-0.02,0.08,0.05,0.98,0.14
0,-0.01,0.13,0.04,1.03,0.12
0,-0.02,0.16,0.07,1.12,0.14
0,-0.02,0.20,0.06,0.74,0.14
0,-0.01,0.21,0.06,0.70,0.13
0,-0.02,0.22,0.04,0.68,0.11
0,-0.02,0.24,0.05,0.58,0.12
0,-0.03,0.26,0.06,0.68,0.13
0,0.01,0.25,0.06,0.93,0.13
0,0.35,0.15,0.08,2.68,0.46
0,0.26,0.18,0.08,2.08,0.41
0,0.33,0.09,0.04,0.78,0.33
0,0.26,-0.10,0.06,0.44,0.33
0,0.21,-0.19,-0.03,1.85,0.41
0,0.26,-0.25,0.03,1.22,0.43
0,0.03,-0.12,0.04,0.20,0.28
0,0.12,-0.14,0.05,0.26,0.28
0,0.09,-0.36,0.07,0.81,0.36
0,0.07,-0.32,0.08,2.19,0.40
0,0.06,-0.24,0.08,2.55,0.36
0,0.01,-0.21,0.06,1.32,0.36
0,0.01,-0.24,0.02,1.11,0.29
0,-0.01,-0.55,0.05,0.82,0.34
0,0.07,-0.41,0.05,1.23,0.32
0,0.10,-0.40,0.04,0.85,0.29
0,0.17,0.24,0.08,5.59,0.27
0,0.14,0.23,0.04,3.07,0.24
0,0.19,0.24,0.06,2.35,0.22
0,0.14,0.26,0.02,2.86,0.26
0,0.03,0.29,0.05,3.02,0.25
0,0.01,0.31,0.05,3.45,0.26
0,0.62,0.13,0.04,2.34,0.22
0,0.69,0.17,0.04,1.85,0.27
0,0.61,0.15,0.01,1.54,0.25
0,0.64,0.16,0.05,1.54,0.28
0,0.64,0.15,0.01,1.14,0.20
0,0.01,0.45,0.08,2.79,0.39
0,-0.01,0.21,0.04,0.48,0.16
0,-0.03,0.25,0.03,0.42,0.12
0,-0.04,0.23,0.04,0.54,0.14
0,0.01,0.25,0.05,0.44,0.13
0,0.02,0.24,0.06,0.54,0.12
0,0.03,0.24,0.05,0.51,0.13
0,0.20,0.11,0.09,0.89,0.14
0,0.17,0.18,0.07,1.04,0.15
0,0.17,0.19,0.07,0.48,0.14
0,0.14,0.17,0.08,0.48,0.20
0,0.18,0.15,0.09,0.91,0.20
0,0.15,0.17,0.07,0.49,0.19
0,0.13,0.41,0.04,1.40,0.22
0,0.36,0.47,0.05,1.96,0.21
0,0.36,0.52,0.06,2.61,0.23
0,0.37,0.50,0.06,1.21,0.23
0,0.37,0.49,0.05,1.46,0.24
0,0.35,0.50,0.06,1.95,0.23
0,0.15,0.15,0.05,0.35,0.28
0,0.06,0.14,0.07,0.33,0.31
0,0.04,0.14,0.06,0.41,0.32
0,-0.02,-0.10,0.06,0.31,0.40
0,0.12,-0.04,0.06,0.53,0.37
0,-0.01,0.24,0.05,0.98,0.13
0,0.01,0.25,0.04,0.90,0.11
0,-0.02,0.24,0.04,0.80,0.11
0,-0.04,0.21,0.03,0.64,0.11
0,-0.31,0.74,0.07,3.65,0.27
0,-0.34,0.83,0.05,2.24,0.26
0,-0.29,0.76,0.07,1.84,0.24
0,-0.23,0.82,0.05,1.68,0.22
0,-0.22,0.82,0.07,1.72,0.26
0,-0.11,0.84,0.04,1.85,0.25
0,0.02,0.14,0.05,0.86,0.13
0,-0.02,0.17,0.05,0.93,0.12
0,-0.01,0.17,0.05,1.21,0.11
0,-0.02,0.17,0.05,1.10,0.11
0,0.00,0.19,0.05,1.52,0.13
0,0.00,0.22,0.06,1.79,0.13
0,0.02,0.19,0.07,1.74,0.16
0,0.06,0.10,0.07,1.12,0.17
0,0.03,0.18,0.05,1.12,0.11
0,0.04,0.21,0.05,1.03,0.17
0,0.18,0.23,0.02,1.14,0.17
0,0.04,0.21,0.05,0.68,0.13
0,0.26,0.18,0.05,0.52,0.26
0,0.33,0.20,0.05,0.66,0.25
0,0.25,0.21,0.05,1.15,0.24
0,0.27,0.26,0.05,1.13,0.23
0,0.22,0.27,0.07,1.10,0.21
0,0.23,0.25,0.05,1.19,0.16
0,0.30,0.35,0.04,2.95,0.21
0,0.34,0.37,0.08,2.91,0.35
0,0.39,0.45,0.07,3.44,0.35
0,0.38,0.50,0.06,3.66,0.36
0,0.29,0.33,0.07,3.65,0.81
0,0.28,0.33,0.06,3.28,1.06
0,0.29,0.30,0.05,3.38,0.88
0,0.34,0.33,0.06,2.78,0.82
0,0.34,0.37,0.06,2.71,0.84
0,0.18,0.42,0.06,2.31,0.81
0,0.32,0.53,0.05,1.82,0.41
0,0.18,0.50,0.05,1.74,0.35
0,0.24,0.46,0.04,1.32,0.33
0,0.15,0.50,0.05,1.68,0.39
0,0.03,0.13,0.04,0.70,0.11
0,0.03,0.12,0.05,0.75,0.12
0,0.04,0.12,0.03,0.63,0.11
0,0.02,0.12,0.04,0.64,0.12
0,0.12,0.26,0.04,0.68,0.20
0,0.08,0.23,0.04,0.45,0.21
0,0.11,0.25,0.07,0.66,0.29
0,0.15,0.19,0.03,0.69,0.18
0,0.18,0.18,0.03,0.41,0.19
0,0.21,0.20,0.06,0.87,0.23
0,0.03,0.04,0.02,1.04,0.13
0,0.04,0.06,0.03,0.95,0.16
0,-0.09,0.05,0.03,1.01,0.15
0,0.05,0.06,0.02,0.88,0.14
0,0.00,0.03,0.03,0.87,0.13
0,-0.04,0.03,0.03,0.82,0.13
0,0.17,0.29,0.04,0.82,0.22
0,0.16,0.28,0.05,0.75,0.21
